POSITIBOAK EUSKADIKO EREMUETAN (8:00etan) / POSITIVOS EN LAS ZONAS DE SALUD DE EUSKADI (8:00 horas);;;;
2510;Etxebarri;11012;85;771,8852161
2511;Galdakao;31357;274;873,8080811
2512;Gernika;17064;86;503,9849977
2513;Gernikaldea;9275;75;808,6253369
2514;Lekeitio;10540;26;246,6793169
2515;Llodio;22356;162;724,6376812
2516;Markina-Xemein;6125;24;391,8367347
2517;Ondarroa;9890;24;242,669363
3101;Deba;10788;24;222,4694105
3102;Eibar;17323;131;756,2200543
3103;Elgoibar;17576;61;347,0641784
3104;Ermua;17253;169;979,5397902
3105;Torrekua;9811;74;754,2554276
3201;Arrasate;23445;253;1079,121348
3202;Bergara;18367;66;359,3401209
3203;Oñati;11344;48;423,1311707
3204;Valle de Leniz;11317;63;556,6846337
3301;Azkoitia;11879;17;143,1096894
3302;Azpeitia;15445;19;123,0171577
3303;Beasain;21189;67;316,2018028
3304;Lazkao;8061;23;285,3244014
3305;Legazpi;8462;29;342,7085795
3306;Ordizia;12388;91;734,5818534
3307;Zumarraga;17819;71;398,4510915
3401;Alegia;6826;20;292,997363
3402;Andoain;14929;46;308,1251256
3403;Ibarra;7656;31;404,9111808
3404;Tolosa;18856;124;657,6156131
3405;Villabona;15547;71;456,6797453
3501;Alza-Roteta;17272;148;856,8781843
3502;Amara Berri;35050;101;288,1597718
3503;Amara Centro;12955;48;370,5133153
3504;Beraun-Errenteria;14090;35;248,4031228
3505;Bidebieta;7306;22;301,1223652
3506;Egia;13125;66;502,8571429
3507;Gros;26743;87;325,318775
3508;Hernani-Urnieta-Astigarraga;31961;94;294,1084447
3509;Intxaurrondo;11414;34;297,8797967
3510;Iztieta-Errenteria;25937;85;327,7171608
3511;Lasarte-Usurbil;25136;63;250,6365372
3512;Lezo-San Juan;8344;30;359,5397891
3513;Loiola;6924;23;332,1779318
3514;Oiartzun;10290;24;233,2361516
3515;Ondarreta;33535;139;414,4923215
3516;Parte Vieja;12779;45;352,1402301
3517;Pasaia Antxo;7572;15;198,0982567
3518;Pasaia San Pedro;9749;26;266,6940199
3519;Zarautz-Orio-Aia;31027;176;567,2478809
3520;Zumaia-Zestoa-Getaria;17132;60;350,2218071
3601;Hondarribia;17147;44;256,6046539
3602;Dumboa;25680;79;307,6323988
3603;Irún-Centro;34001;141;414,6936855
;;;;
(*) Osasun-eremuaren araberako positiboak analitiken datuetatik datoz, goizeko 08:00etan. Horregatik, guztizkoak ez datoz bat arratsaldeko 20:00etako analisien emaitzekin. Baliteke, gainera, egunez egun desadostasun txikiak egotea. Informazioa etengabe berrikusten eta arazten ari da. Baliteke, gardentasunaren mesedetan, akats puntualen bat egotea, gerora zuzenduko dena.;;;;
(*) Los positivos por zona de salud provienen de datos de las analíticas a las 08:00 de la mañana. Es por ello que los totales no coinciden con los de los resultados de las analíticas de las 20:00 de la tarde. Puede además que haya pequeñas discrepancias de día a día. La información está continuamente siendo revisada y depurada. En aras de la transparencia puede que haya algún error puntual que posteriormente será corregido.;;;;
;;;;
(*) Informazioa etengabe berrikusten eta arazten ari da. Baliteke, gardentasunaren mesedetan, akats puntualen bat egotea, gerora zuzenduko dena.;;;;
(*) La información está continuamente siendo revisada y depurada. En aras de la transparencia puede que haya algún error puntual que se corregirá posteriormente.;;;;
